settlement,teaor,bin,count
Balatonalmádi,25,5-9,5
Balatonalmádi,41,5-9,9
Balatonalmádi,47,5-9,9
Balatonalmádi,56,5-9,6
Balatonberény,43,1-4,12
Balatonberény,47,1-4,5
Balatonberény,55,1-4,12
Balatonberény,56,1-4,7
Balatonberény,62,1-4,6
Balatonberény,74,1-4,6
Balatonberény,85,1-4,6
Balatonberény,96,1-4,11
Balatonboglár,1,1-4,63
Balatonboglár,25,1-4,5
Balatonboglár,33,1-4,5
Balatonboglár,41,1-4,9
Balatonboglár,43,1-4,51
Balatonboglár,45,1-4,16
Balatonboglár,46,1-4,20
Balatonboglár,47,1-4,60
Balatonboglár,49,1-4,12
Balatonboglár,55,1-4,42
Balatonboglár,56,1-4,52
Balatonboglár,62,1-4,15
Balatonboglár,66,1-4,5
Balatonboglár,68,1-4,26
Balatonboglár,69,1-4,24
Balatonboglár,70,1-4,16
Balatonboglár,73,1-4,9
Balatonboglár,74,1-4,20
Balatonboglár,77,1-4,5
Balatonboglár,81,1-4,23
Balatonboglár,82,1-4,13
Balatonboglár,85,1-4,25
Balatonboglár,86,1-4,12
Balatonboglár,90,1-4,9
Balatonboglár,93,1-4,14
Balatonboglár,95,1-4,8
Balatonboglár,96,1-4,50
Balatoncsicsó,1,1-4,6
Balatoncsicsó,43,1-4,6
Balatonederics,1,1-4,10
Balatonederics,41,1-4,5
Balatonederics,43,1-4,23
Balatonederics,47,1-4,6
Balatonederics,56,1-4,5
Balatonederics,66,1-4,7
Balatonederics,70,1-4,6
Balatonederics,85,1-4,5
Balatonederics,96,1-4,6
Balatonendréd,1,1-4,16
Balatonendréd,2,1-4,5
Balatonendréd,41,1-4,8
Balatonendréd,43,1-4,32
Balatonendréd,47,1-4,5
Balatonendréd,81,1-4,8
Balatonendréd,86,1-4,5
Balatonendréd,96,1-4,5
Balatonfenyves,1,1-4,6
Balatonfenyves,16,1-4,8
Balatonfenyves,18,1-4,10
Balatonfenyves,41,1-4,5
Balatonfenyves,43,1-4,24
Balatonfenyves,47,1-4,17
Balatonfenyves,49,1-4,7
Balatonfenyves,55,1-4,8
